# x	y	u	v	flags	mask
3.2739e+00	1.2536e+00	-5.1819e-03	-3.1537e-03	1.0000e+00	0.0000e+00
3.4811e+00	1.2536e+00	3.3548e+00	6.2970e-01	0.0000e+00	0.0000e+00
3.6884e+00	1.2536e+00	-1.0790e-01	2.9505e-01	1.0000e+00	0.0000e+00
3.8956e+00	1.2536e+00	2.5354e-02	9.2433e-02	1.0000e+00	0.0000e+00
4.1028e+00	1.2536e+00	2.9457e-01	1.3846e-01	1.0000e+00	0.0000e+00
4.3100e+00	1.2536e+00	-1.5595e+00	-8.4867e-01	0.0000e+00	0.0000e+00
4.5172e+00	1.2536e+00	-3.1491e+00	-3.4348e+00	0.0000e+00	0.0000e+00
4.7244e+00	1.2536e+00	2.6232e+00	6.2251e+00	0.0000e+00	0.0000e+00
4.9316e+00	1.2536e+00	2.4785e+00	2.0701e+00	0.0000e+00	0.0000e+00
5.1388e+00	1.2536e+00	-6.0002e+00	-9.8394e-01	0.0000e+00	0.0000e+00
5.3460e+00	1.2536e+00	-4.4764e-01	5.6586e-01	1.0000e+00	0.0000e+00
5.5533e+00	1.2536e+00	-6.3159e-01	5.4986e-01	1.0000e+00	0.0000e+00
5.7605e+00	1.2536e+00	-7.3503e-01	4.4901e+00	0.0000e+00	0.0000e+00
5.9677e+00	1.2536e+00	4.5939e+00	6.4544e+00	0.0000e+00	0.0000e+00
6.1749e+00	1.2536e+00	6.0805e+00	-5.4828e+00	0.0000e+00	0.0000e+00
6.3821e+00	1.2536e+00	-3.4752e+00	-5.6899e+00	0.0000e+00	0.0000e+00
6.5893e+00	1.2536e+00	1.7309e-01	9.7465e-02	1.0000e+00	0.0000e+00
6.7965e+00	1.2536e+00	2.3154e-02	1.9637e-02	1.0000e+00	0.0000e+00
7.0037e+00	1.2536e+00	-3.3528e-01	2.0033e-01	1.0000e+00	0.0000e+00
7.2109e+00	1.2536e+00	-2.9191e-01	4.9482e-01	1.0000e+00	0.0000e+00
7.4182e+00	1.2536e+00	-7.0779e-01	5.5110e-01	1.0000e+00	0.0000e+00
7.6254e+00	1.2536e+00	-7.2981e-01	8.7477e-01	1.0000e+00	0.0000e+00
7.8326e+00	1.2536e+00	-6.1339e-01	8.0680e-01	1.0000e+00	0.0000e+00
8.0398e+00	1.2536e+00	-8.3563e-01	7.7069e-01	1.0000e+00	0.0000e+00
8.2470e+00	1.2536e+00	-9.9734e-01	8.6983e-01	1.0000e+00	0.0000e+00
8.4542e+00	1.2536e+00	-9.1207e-01	7.3549e-01	1.0000e+00	0.0000e+00
8.6614e+00	1.2536e+00	-1.0058e+00	5.9216e-01	1.0000e+00	0.0000e+00
8.8686e+00	1.2536e+00	-5.0879e+00	5.7180e+00	0.0000e+00	0.0000e+00
9.0758e+00	1.2536e+00	-1.0123e+00	3.8522e-01	1.0000e+00	0.0000e+00
9.2831e+00	1.2536e+00	-1.0636e+00	3.8730e-01	1.0000e+00	0.0000e+00
